Date,CPI Inflation,Wage Change
01/01/2015,1.60%,1.50%
02/01/2015,1.30%,1.70%
03/01/2015,1.60%,2.20%
04/01/2015,0.80%,2.00%
05/01/2015,0.90%,3.10%
06/01/2015,1.00%,3.90%
07/01/2015,1.50%,4.50%
08/01/2015,1.20%,4.10%
09/01/2015,0.90%,3.10%
10/01/2015,0.90%,3.90%
11/01/2015,1.30%,3.50%
12/01/2015,1.70%,3.30%
01/01/2016,2.00%,3.70%
02/01/2016,1.60%,4.20%
03/01/2016,1.50%,3.70%
04/01/2016,2.10%,3.70%
05/01/2016,1.90%,2.30%
06/01/2016,1.70%,1.70%
07/01/2016,1.50%,1.30%
08/01/2016,1.50%,1.50%
09/01/2016,1.80%,1.00%
10/01/2016,2.10%,1.30%
11/01/2016,1.80%,1.00%
12/01/2016,2.00%,0.90%
01/01/2017,2.30%,0.50%
02/01/2017,2.30%,0.20%
03/01/2017,1.90%,0.10%
04/01/2017,1.90%,0.20%
05/01/2017,1.40%,0.60%
06/01/2017,1.30%,0.50%
07/01/2017,1.20%,0.40%
08/01/2017,1.50%,0.90%
09/01/2017,1.70%,1.80%
10/01/2017,1.30%,1.40%
11/01/2017,1.90%,2.20%
12/01/2017,1.50%,2.60%
01/01/2018,1.80%,3.30%
02/01/2018,2.10%,3.30%
03/01/2018,2.40%,3.70%
04/01/2018,2.10%,4.20%
05/01/2018,2.30%,4.70%
06/01/2018,2.40%,4.20%
07/01/2018,3.10%,4.20%
08/01/2018,3.10%,3.50%
09/01/2018,2.20%,2.80%
10/01/2018,2.50%,3.20%
11/01/2018,1.80%,2.10%
12/01/2018,2.30%,1.80%
01/01/2019,1.50%,2.00%
02/01/2019,1.50%,2.60%
03/01/2019,1.80%,2.20%
04/01/2019,1.90%,2.00%
05/01/2019,2.40%,2.70%
06/01/2019,2.00%,4.10%
07/01/2019,2.10%,5.10%
08/01/2019,1.90%,3.90%
09/01/2019,1.70%,4.50%
10/01/2019,1.70%,4.70%
11/01/2019,1.90%,4.80%
12/01/2019,2.10%,4.60%
01/01/2020,2.10%,5.20%
02/01/2020,2.00%,4.30%
03/01/2020,0.70%,7.00%
04/01/2020,-0.10%,11.90%
05/01/2020,-0.40%,12.10%
06/01/2020,0.40%,8.20%
07/01/2020,0.00%,7.50%
08/01/2020,0.10%,7.20%
09/01/2020,0.60%,6.00%
10/01/2020,0.70%,5.70%
11/01/2020,0.90%,4.70%
12/01/2020,0.70%,5.70%
01/01/2021,1.10%,6.90%
02/01/2021,1.10%,6.40%
03/01/2021,2.20%,2.50%
04/01/2021,3.30%,-1.00%
05/01/2021,3.70%,-1.90%
06/01/2021,3.20%,-0.50%
07/01/2021,3.50%,-0.50%
08/01/2021,4.00%,1.00%
09/01/2021,4.40%,1.70%
10/01/2020,4.90%,1.60%
11/01/2021,5.00%,3.50%
12/01/2021,5.20%,2.70%
01/01/2022,5.70%,2.90%
02/01/2022,6.10%,2.60%
03/01/2022,7.00%,2.80%
04/01/2022,6.90%,2.30%
05/01/2022,7.80%,3.30%
06/01/2022,7.90%,5.20%
07/01/2022,7.60%,4.90%
08/01/2022,6.90%,6.20%
09/01/2022,6.70%,5.70%
10/01/2022,6.50%,6.40%
11/01/2022,6.40%,6.40%
12/01/2022,6.00%,5.50%
01/01/2023,5.60%,3.60%
02/01/2023,5.10%,4.80%
03/01/2023,4.30%,6.00%
04/01/2023,4.20%,5.50%
05/01/2023,3.10%,5.10%
06/01/2023,,3.70%
